LA Name,School Name,Address 1,Address 2,Post code,Phone
 Highland , Farr High School , Bettyhill , By Thurso , KW14 7SP , 01641 521217 
 Highland , Dornoch Primary , Evelix Road , Dornoch , IV25 3HR , 01862 810180 
 Highland , Brora Primary School , Johnstone Place , Brora , KW9 6PF , 01408 621441 
 Highland , Helmsdale Primary School , Helmsdale , Sutherland , KW8 6JW , 01431 821244 
 Highland , Strathpeffer Primary School , Strathpeffer , -   , IV14 9AG , 01997 421824 
 Highland , Gledfield Primary School , Ardgay , -   , IV24 3BN , 01863 766580 
 Highland , Achiltibuie Primary School , Achiltibuie , Ullapool , IV26 2YG , 01854 622267 
 Highland , Applecross Primary School , Applecross , Strathcarron , IV54 8LU , 01520 744325 
 Highland , Ardross Primary School , Ardross , Alness , IV17 0XW , 01349 882345 
 Highland , Avoch Primary School , Avoch , -   , IV9 8PS , 01381 620369 
 Highland , Badcaul Primary School , Dundonnell , Garve , IV23 2QY , 01854 633265 
 Highland , Bridgend Primary School , Ardross Road , Alness , IV17 0QA , 01349 882285 
 Highland , Bualnaluib Primary School , Aultbea , Achnasheen , IV22 2JH , 01445 731254 
 Highland , Cromarty Primary School , Braehead , Cromarty , IV11 8XR , 01381 600465 
 Highland , Coulhill Primary School , Alness , Ross-shire , IV17 0RD , 01349 882713 
 Highland , Culbokie Primary School , Culbokie , Dingwall , IV7 8JH , 01349 877900 
 Highland , Dingwall Primary School , Ross Avenue , Dingwall , IV15 9UU , 01349 862081 
 Highland , North Kessock Primary School , North Kessock , Ferry Brae , IV1 3WX , 01463 731667 
 Highland , Edderton Primary School , Edderton , Tain , IV19 1LF , 01862 821260 
 Highland , Ferintosh Primary School , Ferintosh , Easter Kinkell , IV7 8HZ , 01349 861827 
 Highland , Hill of Fearn Primary School , Rhynie Road , Fearn , IV20 1SU , 01862 832257 
 Highland , Hilton of Cadboll Primary School , Hilton , Fearn , IV20 1XR , 01862 832272 
 Highland , Inver Primary School , Inver , Tain , IV20 1RX , 01862 871431 
 Highland , South Lodge Primary School , Castle Road , Invergordon , IV18 0LW , 01349 852521 
 Highland , Kiltearn Primary School , Drummond Road , Evanton , IV16 9UT , 01349 830568 
 Highland , Kinlochewe Primary School , Kinlochewe , Achnasheen , IV22 2PA , 01445 760260 
 Highland , Lochcarron Primary School , Strathcarron , -   , IV54 8YS , 01520 722445 
 Highland , Marybank Primary School , Urray , Muir Of Ord , IV6 7UN , 01997 433320 
 Highland , Mulbuie Primary School , Muir Of Ord , -   , IV6 7RB , 01349 861289 
 Highland , Munlochy Primary School , 56 Millbank Road , Munlochy , IV8 8NL , 01463 811489 
 Highland , Newmore Primary School , Invergordon , -   , IV18 0PG , 01349 853300 
 Highland , Obsdale Primary School , Alness , Ross-Shire , IV17 0TP , 01349 882860 
 Highland , Poolewe Primary School , Poolewe , Achnasheen , IV22 2LA , 01445 781340 
 Highland , Shieldaig Primary School , Shieldaig , Strathcarron , IV54 8XN , 01520 755269 
 Highland , Strathconon Primary School , Strathconon , Muir Of Ord , IV6 7QQ , 01997 477257 
 Highland , Strathgarve Primary School , Garve , -   , IV23 2PR , 01997 414286 
 Highland , Knockbreck Primary School - Tain , Tain , -   , IV19 1BL , 01862 892272 
 Highland , Tarbat Old Primary School , Tarbatness Road , Portmahomack , IV20 1YA , 01862 871536 
 Highland , Tarradale Primary School , Black Isle Road , Muir of Ord , IV6 7UL , 01463 870484 
 Highland , Tore Primary School , Tore , Muir Of Ord , IV6 7SA , 01463 811481 
 Highland , Gairloch High School , Achtercairn , Gairloch , IV21 2BP , 01445 712275 
 Highland , Dingwall Academy , Dingwall , -   , IV15 9LT , 01349 869860 
 Highland , Fortrose Academy , Academy Street , Fortrose , IV10 8TW , 01381 620310 
 Highland , Invergordon Academy , Academy Road , Invergordon , IV18 0LD , 01349 852362 
 Highland , Tain Royal Academy , Scotsburn Road , Tain , IV19 1PS , 01862 892121 
 Highland , Ullapool High School , Quay Street , Ullapool , IV26 2UN , 01854 612078 
 Highland , St Clement's School , Tulloch Street , Dingwall , IV15 9JZ , 01349 863284 
 Highland , Bun-sgoil Ghaidhlig Inbhir Nis , Inverness , -   , IV2 6BA , 01463 725980 
 Highland , Alness Academy , Alness , -   , IV17 0UY , 01349 883341 
 Highland , Craighill Primary School , Craighill Terrace , Tain , IV19 1EU , 01862 892663 
 Highland , Resolis Primary School , Balblair , Dingwall , IV7 8LJ , 01381 622600 
 Highland , Park Primary School , Albany Road , Invergordon , IV18 0HA , 01349 852037 
 Highland , Milton Primary School , Kildary , Invergordon , IV18 0PX , 01862 842537 
 Highland , Inshes Primary School , Inshes Road , Inverness , IV2 3RF , 01463 725920 
 Highland , St Duthus School , Academy Street , Tain , IV19 1ED , 01862 894407 
 Highland , Scoraig School , Scoraig , Dundonnell , IV23 2RE , 01854 633386 
 Highland , Loch Duich Primary School , Kyle Of Lochalsh , -   , IV40 8HE , 01599 511379 
 Highland , Kyle Primary School , Kyle Of Lochalsh , -   , IV40 8LG , 01599 534194 
 Highland , Plockton High School , Plockton , Ross-shire , IV52 8TF , 01599 530800 
 Highland , Plockton Primary School , Plockton , -   , IV52 8TW , 01599 544346 
 Highland , Carbost Primary School , Carbost , Isle Of Skye , IV47 8SR , 01478 640237 
 Highland , Edinbane Primary School , By Portree , Isle Of Skye , IV51 9PW , 01470 582229 
 Highland , Elgol Primary School , Broadford , Isle Of Skye , IV49 9BJ , 01471 866234 
 Highland , Bun-Sgoil Shleite , Teangue , SLEAT , IV44 8RF , 01471 844326 
 Highland , Kilmuir Primary School , Portree , Isle Of Skye , IV51 9UB , 01470 552271 
 Highland , Knockbreck Primary School - Dunvegan , Hallin , Dunvegan , IV55 8GP , 01470 592258 
 Highland , Kyleakin Primary School , Kyleakin , Isle Of Skye , IV41 8PH , 01599 534150 
 Highland , Macdiarmid Primary School , Carbost , Skeabost Bridge , IV51 9PD , 01470 532229 
 Highland , Raasay Primary School , Isle Of Raasay , By Kyle , IV40 8PB , 01478 660219 
 Highland , Struan Primary School , Struan , Isle Of Skye , IV56 8FB , 01470 572272 
 Highland , Broadford Primary School , Broadford , Isle Of Skye , IV49 9AQ , 01471 822453 
 Highland , Dunvegan Primary School , Dunvegan , Isle Of Skye , IV55 8GT , 01470 521307 
 Highland , Portree High School , Viewfield Road , Portree , IV51 9ET , 01478 614810 
 Highland , Staffin Primary School , Staffin , Isle Of Skye , IV51 9JX , 01470 562273 
 Highland , Auchtertyre Primary , Auchtertyre , Balmacara , IV40 8EG , 01599 566209 
 Highland , Portree Primary , Blaven Road , Portree , IV51 9PH , 01478 613130 
 Highland , Acharacle Primary School , Acharacle , Argyll , PH36 4JU , 01967 431645 
 Highland , Ardgour Primary School , Ardgour , By Fort William , PH33 7AB , 01855 841347 
 Highland , Ardnamurchan High School , Drumnatorran , Strontian , PH36 4JA , 01397 700105 
 Highland , Ballachulish Primary School , Ballachulish , -   , PH49 4JS , 01855 811373 
 Highland , Glencoe Primary School , Ballachulish , Glencoe , PH49 4HR , 01855 811359 
 Highland , Duror Primary School , Appin , Argyll , PA38 4BW , 01631 740339 
 Highland , Kilchoan Primary School , Kilchoan , Acharacle , PH36 4LH , 01972 510258 
 Highland , Lochaline Primary School , Lochaline , By Oban , PA34 5XT , 01967 421245 
 Highland , Strontian Primary School , By Acharacle , -   , PH36 4JA , 01967 402363 
 Highland , Arisaig Primary School , Arisaig , -   , PH39 4NH , 01687 450282 
 Highland , Banavie Primary School , Tomonie , Fort William , PH33 7LX , 01397 772402 
 Highland , Caol Primary School , Glenkingie Street , Fort William , PH33 7DP , 01397 703366 
 Highland , Eigg Primary School , Isle Of Eigg , -   , PH42 4RL , 01687 482424 
 Highland , Invergarry Primary School , Invergarry , -   , PH35 4HG , 01809 501317 
 Highland , Inverie Primary School , Inverie , By Mallaig , PH41 4PL , 01687 462226 
 Highland , Inverlochy Primary School , Inverlochy , Fort William , PH33 6LS , 01397 702620 
 Highland , Spean Bridge Primary School , Spean Bridge , -   , PH34 4EU , 01397 712914 
 Highland , Lady Lovat Primary School , Morar , -   , PH40 4PA , 01687 462127 
 Highland , St Bride's Primary School , Onich , Fort William , PH33 6SA , 01855 821280 
 Highland , Rum Primary School , Isle Of Rum , -   , PH43 4RR , 01687 462034 
 Highland , Roybridge Primary School , Roybridge , -   , PH31 4AG , 01397 712212 
 Highland , Kinlochleven Primary School , Kinlochleven , -   , PH50 4QE , 01855 832041 
 Highland , Kinlochleven High School , Riverside Road , Kinlochleven , PH50 4QH , 01855 832042 
 Highland , Mallaig High School , Mallaig , -   , PH41 4RG , 01687 462107 
 Highland , Lochaber High School , Camaghael , Fort William , PH33 7ND , 01397 702512 
 Highland , Mallaig Primary School , Mallaig , -   , PH41 4QX , 01687 462420 
 Highland , Canna Primary School , Isle of Canna , -   , PH44 4RS , 01687 462471 
 Highland , Muck Primary School , Isle Of Muck , -   , PH41 2RP , 01687 462367 
 Highland , Aldourie Primary School , Aldourie , By Inverness , IV2 6DP , 01463 751272 
 Highland , Ardersier Primary School , Ardersier , -   , IV2 7SW , 01667 462344 
 Highland , Balloch Primary , Culloden Road , Balloch , IV2 7HQ , 01463 790287 
 Highland , Balnain Primary School , Inverness , -   , IV63 6TJ , 01456 476262 
 Highland , Cannich Bridge Primary School , Cannich , Beauly , IV4 7LN , 01456 415304 
 Highland , Croy Primary School , Croy , Inverness , IV2 5PG , 01667 493356 
 Highland , Daviot Primary School , Daviot , Inverness , IV2 5XL , 01463 772226 
 Highland , Dochgarroch Primary School , Dochgarroch , Inverness , IV3 8JG , 01463 861240 
 Highland , Farr Primary School - Inverness , Farr , Inverness , IV2 6XJ , 01808 521246 
 Highland , Foyers Primary School , Foyers , -   , IV2 6XU , 01456 486612 
 Highland , Holm Primary School , Stratherrick Road , Inverness , IV2 4YL , 01463 232697 
 Highland , Bishop Eden Primary School , 73 King Street , Inverness , IV3 5HX , 01463 237103 
 Highland , Cauldeen Primary School , Mackay Road , Inverness , IV2 4HZ , 01463 235905 
 Highland , Central Primary School , Kenneth Street , Inverness , IV3 5DW , 01463 233906 
 Highland , Crown Primary School , Kingsmills Road , Inverness , IV2 3JT , 01463 233879 
 Highland , Dalneigh Primary School , St Ninian Drive , Inverness , IV3 5AU , 01463 232636 
 Highland , Drakies Primary School , Drumossie Avenue , Inverness , IV2 3SG , 01463 236032 
 Highland , Hilton Primary School , Temple Crescent , Inverness , IV2 4TP , 01463 230435 
 Highland , Lochardil Primary School , Lochardil Road , Inverness , IV2 4LB , 01463 230250 
 Highland , Merkinch Primary School , Telford Road , Inverness , IV3 8HY , 01463 232962 
 Highland , St Joseph's RC Primary , King Street , Inverness , IV3 5DG , 01463 231837 
 Highland , Raigmore Primary School , King Duncan's Road , Inverness , IV2 3UG , 01463 234971 
 Highland , Smithton Primary School , Smithton , Inverness , IV2 7PD , 01463 791606 
 Highland , Teanassie Primary School , By Beauly , -   , IV4 7AE , 01463 782581 
 Highland , Tomnacross Primary School , Kiltarlity , Beauly , IV4 7HW , 01463 741497 
 Highland , Kinmylies Primary School , Assynt Road , Inverness , IV3 8PB , 01463 239720 
 Highland , Kirkhill Primary School , St Mary's Road , Kirkhill , IV5 7NX , 01463 831543 
 Highland , Kilchuimen Academy , Station Road , Fort Augustus , PH32 4DL , 01320 366296 
 Highland , Glen Urquhart High School , Pitkerrald Road , Drumnadrochit , IV63 6UG , 01456 459134 
 Highland , Inverness High School , Montague Row , Inverness , IV3 5DZ , 01463 233586 
 Highland , Millburn Academy , Diriebught Road , Inverness , IV2 3QR , 01463 729153 
 Highland , Inverness Royal Academy , Culduthel Road , Inverness , IV2 6RE , 01463 222884 
 Highland , Drummond School , Drummond Road , Inverness , IV2 4NZ , 01463 701050 
 Highland , Muirtown Primary School , King Brude Road , Inverness , IV3 8LU , 01463 239537 
 Highland , Cradlehall Primary School , Westhill , Inverness , IV2 5DB , 01463 791195 
 Highland , Duncan Forbes Primary School , Keppoch Road , Culloden , IV2 7NY , 01463 791897 
 Highland , Stratherrick Primary School , Gorthleck , Inverness , IV2 6UJ , 01456 486630 
 Highland , Charleston Academy , General Booth Road , Kinmylies , IV3 5PG , 01463 234324 
 Highland , Culloden Academy , Keppoch Road , Culloden , IV2 7JZ , 01463 790851 
 Highland , Beauly Primary School , Croyard Road , Beauly , IV4 7DJ , 01463 782576 
 Highland , Glenurquhart Primary School , Drumnadrochit , -   , IV63 6UG , 01456 450458 
 Highland , Glenelg Primary School , By Kyle , -   , IV40 8LA , 01599 522252 
 Highland , Abernethy Primary School , Nethybridge , -   , PH25 3ED , 01479 821274 
 Highland , Alvie Primary School , Kincraig , Kingussie , PH21 1ND , 01540 651238 
 Highland , Aviemore Primary School , Muirton , Aviemore , PH22 1SF , 01479 813120 
 Highland , Deshar Primary School , Deshar Road , Boat of Garten , PH24 3BU , 01479 831226 
 Highland , Gergask Primary School , Laggan Bridge , Newtonmore , PH20 1AH , 01528 544272 
 Highland , Newtonmore Primary School , 7 Main Street , Newtonmore , PH20 1DN , 01540 673252 
 Highland , Kingussie High School , Ruthven Road , Kingussie , PH21 1ES , 01540 661475 
 Highland , Grantown Primary School , South Street , Grantown-on-Spey , PH26 3HZ , 01479 872525 
 Highland , Kingussie Primary School , Station Road , Kingussie , PH21 1EN , 01540 661354 
 Highland , Carrbridge Primary , Main Road , Carrbridge , PH23 3AS , 01479 841249 
 Highland , Grantown Grammar School , Cromdale Road , Grantown-on-Spey , PH26 3HU , 01479 872649 
 Highland , Auldearn Primary School , Manse Road , Auldearn , IV12 5SX , 01667 452118 
 Highland , Cawdor Primary School , Cawdor , Nairn , IV12 5XZ , 01667 402460 
 Highland , Millbank Primary School , Millbank Crescent , Nairn , IV12 4QB , 01667 452240 
 Highland , Nairn Academy , Duncan Drive , Nairn , IV12 4RD , 01667 453700 
 Highland , Rosebank Primary School , Academy Street , Nairn , IV12 4RB , 01667 454090 
 Highland , Kinlochbervie High School , Manse Road , Kinlochbervie , IV27 4RG , 01971 521767 
 Highland , Gairloch Primary School , Auchtercairn , Gairloch , IV21 2BP , 01445 712165 
 Highland , Ullapool Primary School , Quay Street , Ullapool , IV26 2UE , 01854 612535 
 Highland , Kilchuimen Primary School , Station Road , Fort Augustus , PH32 4DL , 01320 366756 
 Moray , Alves Primary School , Main Road , Alves , IV30 8UR , 01343 850247 
 Moray , Bishopmill Primary School , Morriston Road , Elgin , IV30 4DY , 01343 547841 
 Moray , Burghead Primary School , Grant Street , Burghead , IV30 5UQ , 01343 835529 
 Moray , Dallas Primary School , Dallas , Moray , IV36 2SA , 01343 890206 
 Moray , Dyke Primary School , Dyke , Moray , IV36 2TF , 01309 641275 
 Moray , East End Primary School , Institution Road , Elgin , IV30 1RP , 01343 542381 
 Moray , Seafield Primary School , Deanshaugh Terrace , Bishopmill , IV30 4ES , 01343 547792 
 Moray , St Sylvester's RC Primary School , Abbey Street , Elgin , IV30 1DA , 01343 541453 
 Moray , West End Primary School , Mayne Road , Elgin , IV30 1PA , 01343 543161 
 Moray , Anderson's Primary School , High Street , Forres , IV36 1DB , 01309 672887 
 Moray , Applegrove Primary School , Orchard Road , Forres , IV36 1PJ , 01309 672367 
 Moray , Hopeman Primary School , School Road , Hopeman , IV30 5TQ , 01343 830281 
 Moray , Kinloss Primary School , Burghead Road , Kinloss , IV36 3SX , 01309 690376 
 Moray , Knockando Primary School , Knockando , Moray , AB38 7RY , 01340 810257 
 Moray , Lhanbryde Primary School , Garmouth Road , Lhanbryde , IV30 8PD , 01343 842649 
 Moray , Logie Primary School , Dunphail , Forres , IV36 2QG , 01309 611258 
 Moray , Hythehill Primary School , Lossiemouth , Moray , IV31 6RF , 01343 812014 
 Moray , St Gerardine Primary School , St Gerardine's Road , Lossiemouth , IV31 6JX , 01343 812251 
 Moray , Mosstodloch Primary School , Garmouth Road , Mosstodloch , IV32 7JB , 01343 820476 
 Moray , Mosstowie Primary School , Miltonbrae , Miltonduff , IV30 8TY , 01343 547119 
 Moray , New Elgin Primary School , Bezack Street , New Elgin , IV30 6DP , 01343 547587 
 Moray , Rothes Primary School , Green Street , Rothes , AB38 7BD , 01340 831269 
 Moray , Elgin Academy , Morriston Road , Elgin , IV30 4ND , 01343 543485 
 Moray , Milne's Primary School , High Street , Fochabers , IV32 7EP , 01343 820977 
 Moray , Milne's High School , West Street , Fochabers , IV32 7DJ , 01343 820611 
 Moray , Forres Academy , Burdsyard Road , Forres , IV36 1FG , 01309 672271 
 Moray , Lossiemouth High School , Coulardbank Road , Lossiemouth , IV31 6JU , 01343 812047 
 Moray , Botriphnie Primary School , Drummuir , Keith , AB55 5JF , 01542 810207 
 Moray , Cluny Primary School , South Pringle Street , Buckie , AB56 1PX , 01542 831417 
 Moray , Millbank Primary School , McWilliam Crescent , Buckie , AB56 1LU , 01542 831113 
 Moray , St Peter's RC Primary School , 37 St Peter's Terrace , Buckie , AB56 1QN , 01542 831339 
 Moray , Craigellachie Primary School , John Street , Craigellachie , AB38 9SX , 01340 881271 
 Moray , Crossroads Primary School , Grange , Keith , AB55 6LX , 01542 870221 
 Moray , Cullen Primary School , Old Church Road , Cullen , AB56 4UZ , 01542 840279 
 Moray , Findochty Primary School , Burnside Street , Findochty , AB56 4QW , 01542 832287 
 Moray , Glenlivet Primary School , Glenlivet , Ballindalloch , AB37 9DA , 01807 590216 
 Moray , Inveravon Primary School , Ballindalloch , Moray , AB37 9BA , 01807 500217 
 Moray , Keith Primary School , School Road , Keith , AB55 5ES , 01542 882802 
 Moray , St Thomas RC Primary School , Chapel Street , Keith , AB55 5AL , 01542 882256 
 Moray , Mortlach Primary School , York Street , Dufftown Keith , AB55 4AU , 01340 820268 
 Moray , Newmill Primary School , Isla Road , Newmill , AB55 6US , 01542 882788 
 Moray , Portessie Primary School , School Road , Portessie , AB56 1TN , 01542 832288 
 Moray , Portgordon Primary School , Richmond Terrace , Portgordon , AB56 5RA , 01542 831198 
 Moray , Portknockie Primary School , King Edward Terrace , Portknockie , AB56 4NX , 01542 840244 
 Moray , Rothiemay Primary School , Rothiemay , Huntly , AB54 7LT , 01466 711220 
 Moray , Buckie High School , West Cathcart Street , Buckie , AB56 1QB , 01542 832605 
 Moray , Keith Grammar School , School Road , Keith , AB55 5GS , 01542 882461 
 Moray , Speyside High School , Mary Avenue , Aberlour , AB38 9QU , 01340 871522 
 Moray , Tomintoul Primary School , Cults Drive , Tomintoul , AB37 9HA , 01807 580271 
 Moray , Aberlour Primary School , Mary Avenue , Aberlour , AB38 9PN , 01340 871255 
 Moray , Greenwards Primary School , Edgar Road , New Elgin , IV30 6UQ , 01343 541661 
 Aberdeenshire , Lairhillock School , Lairhillock , Netherley , AB39 3QS , 01569 732520 
 Moray , Elgin High School , High School Drive , New Elgin , IV30 6UD , 01343 545181 
 Moray , Pilmuir Primary School , Pilmuir Road , Forres , IV36 1HD , 01309 673034 
 Aberdeenshire , Aberchirder School , Smith Crescent , Aberchirder Huntly , AB54 7TW , 01466 780241 
 Aberdeenshire , Banff Primary School , Academy Drive , Banff , AB45 1BL , 01261 813100 
 Aberdeenshire , Bracoden School , Gamrie , Banff , AB45 3HA , 01261 851228 
 Aberdeenshire , Easterfield School , Fortrie , Turriff , AB53 4HY , 01466 730206 
 Aberdeenshire , Fordyce School , School Road , Fordyce , AB45 2SJ , 01261 842231 
 Aberdeenshire , Macduff School , Berrymuir Road , Macduff , AB44 1PT , 01261 832665 
 Aberdeenshire , Ordiquhill School , Cornhill , Banff , AB45 2EX , 01466 751203 
 Aberdeenshire , Portsoy School , Aird Street , Portsoy , AB45 2RB , 01261 842238 
 Aberdeenshire , Whitehills School , Forbes Road , Whitehills , AB45 2LX , 01261 861431 
 Aberdeenshire , Banff Academy , Bellevue Road , Banff , AB45 1BY , 01261 812591 
 Aberdeenshire , Auchnagatt School , Auchnagatt , Ellon , AB41 8TF , 01358 701256 
 Aberdeenshire , Auchterless School , Auchterless , Turriff , AB53 8BA , 01888 511221 
 Aberdeenshire , Boddam School , 13 Russell Street , Boddam Peterhead , AB42 3NG , 01779 473359 
 Aberdeenshire , Buchanhaven School , Hope Street , Peterhead , AB42 1HD , 01779 472543 
 Aberdeenshire , Burnhaven School , South Road , Peterhead , AB42 0YX , 01779 472351 
 Aberdeenshire , Crimond School , Logie Road , Crimond-Fraserburgh , AB43 8QL , 01346 532251 
 Aberdeenshire , Crudie School , Crudie , By Turriff , AB53 5QD , 01888 551217 
 Aberdeenshire , Fetterangus School , Ferguson Street , Fetterangus , AB42 4HD , 01771 623568 
 Aberdeenshire , Fintry School , Fintry , Turriff , AB53 5RN , 01888 551242 
 Aberdeenshire , Fisherford School , Rothienorman , Inverurie , AB51 8YS , 01464 841243 
 Aberdeenshire , St Andrew's Primary School , 113 Charlotte Street , Fraserburgh , AB43 9LS , 01346 518247 
 Aberdeenshire , Fraserburgh North School , Finlayson Street , Fraserburgh , AB43 9JR , 01346 518015 
